PRODUCT_CODE;PRODUCT_GRAND_FAMILY_CODE;PRODUCT_GRAND_FAMILY_NAME;PRODUCT_FAMILY_CODE;PRODUCT_FAMILY_NAME
J600;GF01;Produits stations carburants;FA01;Transactions stations carburants
J700;GF01;Produits stations carburants;FA01;Transactions stations carburants
LIGN;GF05;Frais de services;FA03;Abonnements
M000;;;;
M010;;;;
M100;GF03;Produits Station Boutique;FA02;Transactions Station Boutique
M200;;;;
M300;;;;
M400;;;;
M500;;;;
M600;;;;
PERS;GF05;Frais de services;FA22;Frais à l acte
8948;GF06;Frais en clientèle;FA06;Remboursement divers
8949;GF06;Frais en clientèle;FA06;Remboursement divers
8950;GF05;Frais de services;FA22;Frais à l acte
8960;GF05;Frais de services;FA03;Abonnements
8961;GF05;Frais de services;FA22;Frais à l acte
8962;GF05;Frais de services;FA22;Frais à l acte
8963;GF05;Frais de services;FA22;Frais à l acte
8964;GF05;Frais de services;FA22;Frais à l acte
8965;GF05;Frais de services;FA03;Abonnements
8966;GF05;Frais de services;FA22;Frais à l acte
8967;GF05;Frais de services;FA03;Abonnements
8968;GF05;Frais de services;FA03;Abonnements
8969;GF05;Frais de services;FA22;Frais à l acte
8971;GF05;Frais de services;FA03;Abonnements
8972;GF05;Frais de services;FA03;Abonnements
8973;GF05;Frais de services;FA22;Frais à l acte
8974;GF05;Frais de services;FA03;Abonnements
8975;GF05;Frais de services;FA03;Abonnements
8976;GF05;Frais de services;FA03;Abonnements
8977;GF05;Frais de services;FA03;Abonnements
PRES;GF05;Frais de services;FA03;Abonnements
Q000;;;;
Q100;;;;
Q110;;;;
Q120;;;;
Q130;;;;
Q140;;;;
Q150;;;;
Q160;;;;
Q170;;;;
Q180;;;;
Q200;;;;
Q300;;;;
Q400;;;;
Q500;;;;
R000;;;;
R100;;;;
SOSP;GF05;Frais de services;FA03;Abonnements
S000;;;;
TV;GFZZ;Grande Famille Produits Non Utilisés;FAZZ;Famille Produits Non Utilisés
TX;GFZZ;Grande Famille Produits Non Utilisés;FAZZ;Famille Produits Non Utilisés
T000;;;;
T010;;;;
T020;;;;
W000;;;;
W200;GF05;Frais de services;FA03;Abonnements
Z000;GF05;Frais de services;FA03;Abonnements
Z100;;;;
Z200;;;;
Z300;;;;
Z400;;;;
Z500;;;;
Z600;;;;
Z700;;;;
Z800;GF05;Frais de services;FA03;Abonnements
1;GF07;Caution et Garantie;FA15;CA Tr Autres tiers - Caution/Garantie
2;GF04;Produits Hors Station;FA19;Ecotaxe
3;GF04;Produits Hors Station;FA19;Ecotaxe
01A1;GF01;Produits stations carburants;FA25;Ristournes et commissions carburants
01A2;GF01;Produits stations carburants;FA25;Ristournes et commissions carburants
01C1;GF01;Produits stations carburants;FA25;Ristournes et commissions carburants
01C2;GF01;Produits stations carburants;FA25;Ristournes et commissions carburants
1521;GF04;Produits Hors Station;FA04;Tr Autres tiers - Services Assistance 24/24
1522;GF04;Produits Hors Station;FA04;Tr Autres tiers - Services Assistance 24/24
1523;GF04;Produits Hors Station;FA04;Tr Autres tiers - Services Assistance 24/24
1524;GF04;Produits Hors Station;FA04;Tr Autres tiers - Services Assistance 24/24
1531;GF04;Produits Hors Station;FA04;Tr Autres tiers - Services Assistance 24/24
1541;GF04;Produits Hors Station;FA04;Tr Autres tiers - Services Assistance 24/24
1542;GF04;Produits Hors Station;FA04;Tr Autres tiers - Services Assistance 24/24
1543;GF04;Produits Hors Station;FA04;Tr Autres tiers - Services Assistance 24/24
1561;GF04;Produits Hors Station;FA04;Tr Autres tiers - Services Assistance 24/24
1569;GF04;Produits Hors Station;FA04;Tr Autres tiers - Services Assistance 24/24
1590;GF05;Frais de services;FA22;Frais à l acte
1591;GF05;Frais de services;FA22;Frais à l acte
1592;GF04;Produits Hors Station;FA04;Tr Autres tiers - Services Assistance 24/24
1901;GF06;Frais en clientèle;FA06;Remboursement divers
1902;GF06;Frais en clientèle;FA06;Remboursement divers
1903;GF05;Frais de services;FA22;Frais à l acte
1904;GF05;Frais de services;FA22;Frais à l acte
1905;GF06;Frais en clientèle;FA06;Remboursement divers
1906;GF06;Frais en clientèle;FA36;Facturation divers
8907;GF05;Frais de services;FA08;Frais sur transactions Péages
8908;GF05;Frais de services;FA08;Frais sur transactions Péages
8909;GF05;Frais de services;FA08;Frais sur transactions Péages
8910;GF05;Frais de services;FA08;Frais sur transactions Péages
8911;GF05;Frais de services;FA08;Frais sur transactions Péages
8912;GF05;Frais de services;FA03;Abonnements
8913;GF05;Frais de services;FA08;Frais sur transactions Péages
8914;GF05;Frais de services;FA08;Frais sur transactions Péages
8915;GF05;Frais de services;FA08;Frais sur transactions Péages
8916;GF05;Frais de services;FA22;Frais à l acte
8917;GF05;Frais de services;FA22;Frais à l acte
8918;GF05;Frais de services;FA08;Frais sur transactions Péages
8919;GF05;Frais de services;FA03;Abonnements
8920;GF05;Frais de services;FA22;Frais à l acte
8921;GF05;Frais de services;FA03;Abonnements
8922;GF05;Frais de services;FA22;Frais à l acte
8923;GF05;Frais de services;FA22;Frais à l acte
